Component Count:,43,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
C1,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C2,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C3,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C4,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C6,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C7,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C16,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C17,10u,Capacitors_Tantalum_SMD:CP_Tantalum_Case-C_EIA-6032-28_Hand,,,
C18,100n,Capacitors_SMD:C_0805_HandSoldering,,,
C19,10u,Capacitors_Tantalum_SMD:CP_Tantalum_Case-C_EIA-6032-28_Hand,,,
C20,100n,Capacitors_SMD:C_0805_HandSoldering,,,
D1,LED,smd_leds:Led_1206,,,
D3,LED,smd_leds:Led_1206,,,
D4,LED,smd_leds:Led_1206,,,
D5,LED,smd_leds:Led_1206,,,
D9,D,Diodes_SMD:D_SMB_Handsoldering,,,
J1,kk_10,conn_kk100:kk100_22-23-2101,,,
J2,kk_5,conn_kk100:kk100_22-23-2051,,,
J3,kk_5,conn_kk100:kk100_22-23-2051,,,
J4,CONN_01X06,conn_kk100:kk100_22-23-2061,,,
J5,CONN_01X02,conn_kk100:kk100_22-23-2021,,,
J6,CONN_01X13,conn_kk100:kk100_22-23-2131,,,
J7,CONN_01X06,conn_kk100:kk100_22-23-2061,,,
J8,kk_10,conn_kk100:kk100_22-23-2101,,,
J11,CONN_01X03,conn_kk100:kk100_22-23-2031,,,
R1,10k,Resistors_SMD:R_0805_HandSoldering,,,
R2,10k,Resistors_SMD:R_0805_HandSoldering,,,
R3,10k,Resistors_SMD:R_0805_HandSoldering,,,
R4,10k,Resistors_SMD:R_0805_HandSoldering,,,
R5,10k,Resistors_SMD:R_0805_HandSoldering,,,
R6,10k,Resistors_SMD:R_0805_HandSoldering,,,
R7,4k7,Resistors_SMD:R_0805_HandSoldering,,,
R8,1k2,Resistors_SMD:R_0805_HandSoldering,,,
R10,1k2,Resistors_SMD:R_0805_HandSoldering,,,
R11,1k2,Resistors_SMD:R_0805_HandSoldering,,,
R12,1k2,Resistors_SMD:R_0805_HandSoldering,,,
U1,74HCT04,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,,,
U2,74HCT04,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,,,
U3,TPIC6B595,Housings_SOIC:SO-20_12.8x7.5mm_Pitch1.27mm,,,
U4,TPIC6B595,Housings_SOIC:SO-20_12.8x7.5mm_Pitch1.27mm,,,
U6,TPIC6B595,Housings_SOIC:SO-20_12.8x7.5mm_Pitch1.27mm,,,
U7,TPIC6B595,Housings_SOIC:SO-20_12.8x7.5mm_Pitch1.27mm,,,
U12,78M05,Dpak,,,
